City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Cherskiy,RU,68.75,161.3,-2.88,81,0,3.31,clear sky
312,Trelew,AR,-43.249,-65.3051,57.72,67,23,18.57,few clouds
313,Labunista,MK,41.2686,20.5961,44.96,56,71,1.1,broken clouds
314,Amazar,RU,53.858,120.875,-6.07,81,90,2.24,overcast clouds
315,Dutlwe,BW,-23.9833,23.9,66.06,93,98,10.38,light rain
316,Klaksvik,FO,62.2266,-6.589,35.6,60,40,17.27,scattered clouds
317,Sheltozero,RU,61.3667,35.3667,15.82,95,100,12.71,snow
318,Imeni Poliny Osipenko,RU,52.4201,136.4853,2.62,90,100,13.2,overcast clouds
319,Kodinar,IN,20.7903,70.7031,65.39,32,0,13.89,clear sky
320,Alofi,NU,-19.0595,-169.9187,86.0,70,100,13.8,light rain
321,Itambe,BR,-15.245,-40.6244,71.51,92,100,0.36,light rain
322,Cumpas,MX,29.9833,-109.7833,60.64,33,0,1.28,clear sky
323,Padang,ID,-0.9492,100.3543,86.0,62,20,1.14,few clouds
324,Payo,ID,-3.7508,103.6372,77.29,90,97,4.05,moderate rain
325,Hammerfest,NO,70.6634,23.6821,26.51,95,100,19.15,snow
326,Satinka,RU,52.3792,41.6819,-7.42,91,84,10.04,broken clouds
327,Corpus Christi,US,27.8006,-97.3964,62.01,63,1,3.44,clear sky
328,Chumikan,RU,54.7183,135.315,-7.31,84,100,14.58,overcast clouds
329,Pravia,ES,43.4906,-6.1508,45.0,87,20,11.5,few clouds
330,Borzya,RU,50.3833,116.5167,-8.82,88,100,0.89,overcast clouds
331,Radcliff,US,37.8404,-85.9491,37.4,64,20,4.61,few clouds
332,Morgan City,US,29.6994,-91.2068,53.6,100,90,3.76,mist
333,Marzuq,YE,14.4,46.4667,55.44,74,0,1.5,clear sky
334,Erie,US,42.7667,-78.6664,17.01,82,74,1.99,broken clouds
335,Sur,OM,22.5667,59.5289,61.59,69,0,5.5,clear sky
336,Qaqortoq,GL,60.7167,-46.0333,42.8,39,75,20.71,broken clouds
337,San Quintin,MX,30.4833,-115.95,59.92,74,0,7.27,clear sky
338,Moerai,PF,-22.4333,-151.3333,81.32,72,0,12.35,clear sky
339,Tinos,GR,37.5375,25.1634,61.0,88,99,9.22,overcast clouds
340,Kaeo,NZ,-35.1,173.7833,72.0,64,97,8.99,overcast clouds
341,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,72,0,6.91,clear sky
342,Asyut,EG,27.181,31.1837,53.6,76,0,6.91,clear sky
343,Mount Isa,AU,-20.7333,139.5,78.8,89,75,9.22,broken clouds
344,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,73.0,67,0,1.99,clear sky
345,Shangqiu,CN,34.45,115.65,45.3,56,54,15.99,broken clouds
346,Novo Aripuana,BR,-5.1206,-60.3797,74.98,98,100,2.1,overcast clouds
347,Iguatu,BR,-6.3594,-39.2986,77.41,62,0,6.8,clear sky
348,Conde,BR,-7.2597,-34.9075,78.8,83,20,2.3,few clouds
